NUMCAP;CATINIC;CATFIM;DESCRICAO;DESCRABREV;
1;A00;B99;Algumas doenças infecciosas e parasitárias;I.   Algumas doenças infecciosas e parasitárias;
2;C00;D48;Neoplasias [tumores];II.  Neoplasias (tumores);
3;D50;D89;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;III. Doenças sangue órgãos hemat e transt imunitár;
4;E00;E90;Doenças endócrinas, nutricionais e metabólicas;IV.  Doenças endócrinas nutricionais e metabólicas;
5;F00;F99;Transtornos mentais e comportamentais;V.   Transtornos mentais e comportamentais;
6;G00;G99;Doenças do sistema nervoso;VI.  Doenças do sistema nervoso;
7;H00;H59;Doenças do olho e anexos;VII. Doenças do olho e anexos;
8;H60;H95;Doenças do ouvido e da apófise mastóide;VIII.Doenças do ouvido e da apófise mastóide;
9;I00;I99;Doenças do aparelho circulatório;IX.  Doenças do aparelho circulatório;
10;J00;J99;Doenças do aparelho respiratório;X.   Doenças do aparelho respiratório;
11;K00;K93;Doenças do aparelho digestivo;XI.  Doenças do aparelho digestivo;
12;L00;L99;Doenças da pele e do tecido subcutâneo;XII. Doenças da pele e do tecido subcutâneo;
13;M00;M99;Doenças do sistema osteomuscular e do tecido conjuntivo;XIII.Doenças sist osteomuscular e tec conjuntivo;
14;N00;N99;Doenças do aparelho geniturinário;XIV. Doenças do aparelho geniturinário;
15;O00;O99;Gravidez, parto e puerpério;XV.  Gravidez parto e puerpério;
16;P00;P96;Algumas afecções originadas no período perinatal;XVI. Algumas afec originadas no período perinatal;
17;Q00;Q99;Malformações congênitas, deformidades e anomalias cromossômicas;XVII.Malf cong deformid e anomalias cromossômicas;
18;R00;R99;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;XVIII.Sint sinais e achad anorm ex clín e laborat;
19;S00;T98;Lesões, envenenamento e algumas outras conseqüências de causas externas;XIX. Lesões enven e alg out conseq causas externas;
20;V01;Y98;Causas externas de morbidade e de mortalidade;XX.  Causas externas de morbidade e mortalidade;
21;Z00;Z99;Fatores que influenciam o estado de saúde e o contato com os serviços de saúde;XXI. Contatos com serviços de saúde;
