CATINIC;CATFIM;DESCRICAO;DESCRABREV;
A00;A09;Doenças infecciosas intestinais;Doenças infecciosas intestinais;
A15;A19;Tuberculose;Tuberculose;
A20;A28;Algumas doenças bacterianas zoonóticas;Algumas doenças bacterianas zoonóticas;
A30;A49;Outras doenças bacterianas;Outras doenças bacterianas;
A50;A64;Infecções de transmissão predominantemente sexual;Infecções de transmissão predominantemente sexual;
A65;A69;Outras doenças por espiroquetas;Outras doenças por espiroquetas;
A70;A74;Outras doenças causadas por clamídias;Outras doenças causadas por clamídias;
A75;A79;Rickettsioses;Rickettsioses;
A80;A89;Infecções virais do sistema nervoso central;Infecções virais do sistema nervoso central;
A90;A99;Febres por arbovírus e febres hemorrágicas virais;Febres por arbovírus e febres hemorrágicas virais;
B00;B09;Infecções virais caracterizadas por lesões de pele e mucosas;Infecções virais caract p/lesões de pele e mucosas;
B15;B19;Hepatite viral;Hepatite viral;
B20;B24;Doença pelo vírus da imunodeficiência humana [HIV];Doença pelo vírus da imunodeficiência humana [HIV];
B25;B34;Outras doenças por vírus;Outras doenças por vírus;
B35;B49;Micoses;Micoses;
B50;B64;Doenças devidas a protozoários;Doenças devidas a protozoários;
B65;B83;Helmintíases;Helmintíases;
B85;B89;Pediculose, acaríase e outras infestações;Pediculose, acaríase e outras infestações;
B90;B94;Seqüelas de doenças infecciosas e parasitárias;Seqüelas de doenças infecciosas e parasitárias;
B95;B97;Agentes de infecções bacterianas, virais e outros agentes infecciosos;Agentes infec bacter, virais e outr agentes infecc;
B99;B99;Outras doenças infecciosas;Outras doenças infecciosas;
C00;C97;Neoplasias [tumores] malignas(os);Neoplasias malignas;
C00;C75;Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos;Neoplasias malignas de localizações especificadas;
C00;C14;Neoplasias malignas do lábio, cavidade oral e faringe;Neoplasias malig do lábio, cavidade oral e faringe;
C15;C26;Neoplasias malignas dos órgãos digestivos;Neoplasias malignas dos órgãos digestivos;
